pH,Turbidity,Chloramine,Dissolved Oxygen,Solids,Potability
7.91,2.23,3.1,7.85,466.06,TRUE
8.05,4.25,3.86,6.56,415.67,TRUE
7.46,1.27,0.36,7.25,596.51,TRUE
8.37,1.55,0.17,6.55,24.4,TRUE
6.63,3.28,3.25,6.62,684.49,TRUE
7.76,4.59,2.67,7.2,543.84,TRUE
7.86,2.63,3.84,6.79,1190.5,TRUE
7.54,3.31,0.91,6.69,803.94,TRUE
7.9,4.11,3.24,6.97,263.8,TRUE
7.18,1.72,3.22,6.83,1019.52,TRUE
7.28,4.89,0.81,7.38,857.79,TRUE
8.23,1.51,1.38,7.95,1099.64,TRUE
7.41,3.03,2.24,6.74,1138.09,TRUE
7.66,1.43,1.37,7.71,1197.44,TRUE
7.43,2.26,2.77,6.52,1190.37,TRUE
7.79,2.9,0.21,7.45,1070.44,TRUE
7.13,3.59,3.71,6.6,734.7,TRUE
6.92,2.81,3.5,6.89,237.76,TRUE
7.43,2.91,1.44,7.67,641.75,TRUE
6.51,3.02,2.72,7.45,126.23,TRUE
7.24,2.22,1.0,7.04,329.49,TRUE
7.78,4.93,0.56,7.52,1118.68,TRUE
6.87,1.92,2.46,7.53,883.95,TRUE
7.06,3.51,1.92,6.78,616.39,TRUE
7.68,2.4,1.83,7.85,430.98,TRUE
6.75,3.49,3.31,6.7,229.65,TRUE
8.14,2.5,3.3,6.57,684.91,TRUE
7.6,1.56,3.01,6.69,596.41,TRUE
6.84,3.75,2.49,6.75,552.94,TRUE
7.4,2.44,2.0,6.73,572.52,TRUE
7.92,2.28,2.72,7.38,372.63,TRUE
7.27,3.68,1.71,7.62,1044.11,TRUE
7.55,1.49,0.49,7.1,316.69,TRUE
8.31,1.96,3.31,6.9,116.75,TRUE
7.7,1.75,3.59,7.59,630.14,TRUE
8.08,3.82,1.27,6.84,328.61,TRUE
7.97,2.18,2.85,7.65,450.94,TRUE
7.86,1.88,0.11,6.53,980.86,TRUE
7.21,2.73,1.24,7.95,864.05,TRUE
7.85,2.08,0.96,6.88,1124.47,TRUE
